Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:14,22-01-2025 14:50:16,1.780s,PASSED
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Login""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:16,22-01-2025 14:50:18,1.925s,PASSED
"setText(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:18,22-01-2025 14:50:22,3.553s,PASSED
"setEncryptedText(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:22,22-01-2025 14:50:24,2.035s,PASSED
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:24,22-01-2025 14:50:25,1.911s,PASSED
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:25,22-01-2025 14:50:27,1.632s,PASSED
,,,,,,,
Test Cases/TC18_SelectDate,TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:27,22-01-2025 14:51:16,48.423s,PASSED
"openBrowser("""")",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:27,22-01-2025 14:50:56,28.992s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:56,22-01-2025 14:50:57,0.435s,PASSED
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:57,22-01-2025 14:50:59,1.977s,PASSED
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Login""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:50:59,22-01-2025 14:51:01,2.028s,PASSED
"setText(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:51:01,22-01-2025 14:51:05,3.944s,PASSED
"setEncryptedText(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:51:05,22-01-2025 14:51:07,2.508s,PASSED
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:51:07,22-01-2025 14:51:09,2.175s,PASSED
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:51:09,22-01-2025 14:51:11,1.837s,PASSED
"click(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/td_11""))",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:51:11,22-01-2025 14:51:13,1.687s,PASSED
"verifyElementText(findTestObject(""Object Repository/MakeAppoinmentPage/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), """")",TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:51:13,22-01-2025 14:51:15,1.614s,PASSED
closeBrowser(),TestCloud - Windows - Edge Chromium 132,,,22-01-2025 14:51:15,22-01-2025 14:51:16,0.960s,PASSED
